name,revenueseries,depreciationseries,costsseries,interestexpenseseries
Food,QFR101311USNO,QFR102311USNO,QFR103311USNO,QFR105311USNO
BeverageAndTobaccoProducts,QFR101312USNO,QFR102312USNO,QFR103312USNO,QFR105312USNO
TextileMillsAndTextileProductMills,QFR101313USNO,QFR102313USNO,QFR103313USNO,QFR105313USNO
WoodProducts,QFR101321USNO,QFR102321USNO,QFR103321USNO,QFR105321USNO
Paper,QFR101322USNO,QFR102322USNO,QFR103322USNO,QFR105322USNO
PrintingAndRelatedSupportActivities,QFR101323USNO,QFR102323USNO,QFR103323USNO,QFR105323USNO
PetroleumAndCoalProducts,QFR101324USNO,QFR102324USNO,QFR103324USNO,QFR105324USNO
AllOtherChemicals,QFR101325USNO,QFR102325USNO,QFR103325USNO,QFR105325USNO
PlasticsAndRubberProducts,QFR101326USNO,QFR102326USNO,QFR103326USNO,QFR105326USNO
NonmetallicMineralProducts,QFR101327USNO,QFR102327USNO,QFR103327USNO,QFR105327USNO
Foundrie,QFR101331USNO,QFR102331USNO,QFR103331USNO,QFR105331USNO
FabricatedMetalProducts,QFR101332USNO,QFR102332USNO,QFR103332USNO,QFR105332USNO
Machinery,QFR101333USNO,QFR102333USNO,QFR103333USNO,QFR105333USNO
AllOtherElectronicProducts,QFR101334USNO,QFR102334USNO,QFR103334USNO,QFR105334USNO
ElectricalEquipmentAppliancesAndComponents,QFR101335USNO,QFR102335USNO,QFR103335USNO,QFR105335USNO
FurnitureAndRelatedProducts,QFR101337USNO,QFR102337USNO,QFR103337USNO,QFR105337USNO
MiscellaneousManufacturing,QFR101339USNO,QFR102339USNO,QFR103339USNO,QFR105339USNO
IronSteelAndFerroalloys,QFR101371USNO,QFR102371USNO,QFR103371USNO,QFR105371USNO
ComputerAndPeripheralEquipment,QFR101374USNO,QFR102374USNO,QFR103374USNO,QFR105374USNO
BasicChemicalsResinsAndSynthetics,QFR101375USNO,QFR102375USNO,QFR103375USNO,QFR105375USNO
MotorVehiclesAndParts,QFR101376USNO,QFR102376USNO,QFR103376USNO,QFR105376USNO
NonferrousMetals,QFR101381USNO,QFR102381USNO,QFR103381USNO,QFR105381USNO
CommunicationsEquipment,QFR101384USNO,QFR102384USNO,QFR103384USNO,QFR105384USNO
PharmaceuticalsAndMedicines,QFR101385USNO,QFR102385USNO,QFR103385USNO,QFR105385USNO
AerospaceProductsAndParts,QFR101386USNO,QFR102386USNO,QFR103386USNO,QFR105386USNO
WholesaleTradeDurableGoods,QFR101421USNO,QFR102421USNO,QFR103421USNO,QFR105421USNO
WholesaleTradeNondurableGoods,QFR101422USNO,QFR102422USNO,QFR103422USNO,QFR105422USNO
FoodAndBeverageStores,QFR101445USNO,QFR102445USNO,QFR103445USNO,QFR105445USNO
ClothingAndGeneralMerchandiseStores,QFR101448USNO,QFR102448USNO,QFR103448USNO,QFR105448USNO
PublishingIndustriesExceptInternet,QFR101511USNO,QFR102511USNO,QFR103511USNO,QFR105511USNO
MotionPictureAndSoundRecordingIndustries:,QFR101512USNO,QFR102512USNO,QFR103512USNO,QFR105512USNO
BroadcastingExceptInternet,QFR101515USNO,QFR102515USNO,QFR103515USNO,QFR105515USNO
Telecommunications,QFR101517USNO,QFR102517USNO,QFR103517USNO,QFR105517USNO
AllOtherInformation,QFR101519USNO,QFR102519USNO,QFR103519USNO,QFR105519USNO
ComputerSystemsDesignAndRelatedServices,QFR101545USNO,QFR102545USNO,QFR103545USNO,QFR105545USNO
ManagementAndTechnicalConsultingService,QFR101546USNO,QFR102546USNO,QFR103546USNO,QFR105546USNO
ScientificResearchAndDevelopmentServices,QFR101547USNO,QFR102547USNO,QFR103547USNO,QFR105547USNO
AllOtherProfessionalAndTechnicalServicesExceptLegalServices,QFR101549USNO,QFR102549USNO,QFR103549USNO,QFR105549USNO
ApparelAndLeatherProducts,QFR101ANLUSNO,QFR102ANLUSNO,QFR103ANLUSNO,QFR105ANLUSNO
AllMining,QFR101MINUSNO,QFR102MINUSNO,QFR103MINUSNO,QFR105MINUSNO
AllOtherRetailTrade,QFR101OTRUSNO,QFR102OTRUSNO,QFR103OTRUSNO,QFR105OTRUSNO
